anomaly_count
Request Type,Count of anomalous case duration,Total Requests
TR Charter Services Request (TT),0,2138
TR EcoPass Sales/Information (TT),0,2024
TR Lost Property Urgent (TT),0,7051
TR Peggo Create New Account,0,6255
TR Peggo Load Card with Fare Products,0,2652
TR Peggo Order Not Fulfilled,0,819
TR Peggo Order Status Inq,0,2685
TR Peggo Password Inq,0,4166
TR Peggo Pending Orders Report,0,1175
TR Peggo Register New Card,0,12879
TR Peggo Report Card Lost/Found,0,5027
TR Peggo Transit Usage Receipt Inq,0,920
TR Peggo Update/Change Profile,0,1095
TR Peggo View Products on Card,0,21868
Taxi Cab License Request (TT),0,13624
Tee Time Booking,0,25328
Telephone Notification Request (TT,0,1349
Temp Food Service Establishment Req (TT),0,986
Towing - Log Inquiry,0,36916
Towing Inquiries (TT),0,29162
Towing Log Checked for Missing Vehicle,0,10339
Towing Missing Car (TT),0,1513
Traffic Light Timing Concern,0,6890
Traffic Signal Contact First Responder,0,839
Traffic Signal Malfunction (TT),0,9222
Traffic Signal Malfunction Referred to 911,0,2770
Transfer call for Bicycle Registration,0,2487
Transfer for a Zoning Query,0,779
Transfer to Arena (T & T),0,6418
Transfer to Indoor Pool ( T & T),0,67161
Transfer to Outdoor Pool (T & T),0,3688
Transfer to Provincial Health (TT),0,10730
Transfer to Recreation or Leisure Centre (T & T),0,10409
Transfer to Zoning for a Permit Query,0,2116
Transfer to Zoo Office (TT),0,1647
Transfer to a Recreation/Leisure Centre,0,1100
Transfer to the Assiniboine Park Conservancy (TT),0,15629
Transfered to 911 re Problems with 911's Phone,0,934
Transferred - Bylaw Enf to Speak w/ Bylaw Officer,0,3743
Transferred call to Provincial Health,0,1247
Transferred for Street Maintenance Towing Inquiry,0,1620
Transferred for a Park Rental Payment Reg. Hrs.,0,1315
Transferred to Indoor Pool,0,9645
Transferred to Outdoor Pool,0,1692
Transferred to the Utility Billing Centre,0,26296
Transit,0,2060
Tree Planting Request,0,2103
Tree Pruning,0,6060
Tree Root Claim Inquiry,0,2148
Tree Stump Removal Request,0,1037
Turn Off Water - Remove Meter ( T & T),0,2535
Turn On Water - Install Meter (T & T),0,5187
Turn On Water - New Service (T & T),0,5058
Urgent Parking Meter Problem,0,5575
Vehicles for Hire Inquiry,0,2650
Voters List Inquiry,0,8350
Vulnerable Seniors Transfer (TT),0,918
Water Billing Inquiry (T & T),0,165648
Water Meter Different Sized Meter Request (TT),0,1596
Water Meter Multiple Meter Request (T & T),0,2799
Water Quality Lead Pipe Testing - Program Appoint.,0,2990
Water Renewal Inquiry/Concern - Non Emergency (TT),0,1566
Weed Control Inq (TT),0,1516
Where Do I Vote Inquiries,0,8984
Zoning Building Code Inquiries (T & T),0,2561
Zoning By-Law Complaint - Fence (T & T),0,1413
Zoning By-Law Complaint - Home Based Business (TT),0,1553
Zoning By-Law Complaint - Prop Encroachments (TT),0,817
Zoning By-Law Complaint - Vehicle (T & T),0,3116
Zoning Construction Inquiry (T & T),0,2184
Zoning Documentation For Permits (T & T),0,3536
Zoning Mediation Services Inquiry (TT),0,3208
Zoning Memorandum Request (T & T),0,1075
Zoning Permit Query (T & T),0,34570
Zoning Permit Status (T & T),0,2408
Zoning Permit/Plan Search (T & T),0,5848
Zoning Query (T & T),0,10948
