Type,Anomaly Count
Transferred to WFPS for Major Annual Event Booking,0
Transferred to Fire&Paramedics - Apparatus Request,0
ESU - Fence/Hedge Over-Height,0
Needles on Private Property Inquiry,0
Transit Priority and Courtesy Seating Inquiry,0
Zoning By-Law Complaint - Home Based Business _vof,0
Parks By-Law Infraction Payment,0
Fire Prevention By-Law Infraction Payment,0
Transferred for Appointment to Return Water Meter,0
Sweeping Sidewalk P2 Request,0
Surplus Sales Inquiry,0
Transfered to Councillor Chambers Office,0
SW Transitway Pavement Maintenance Request,0
Transfers to Libraries to Locate a Person,0
Vehicle for Hire Diamond Lane Reports,0
Cemeteries -Service Request or Inquiry,0
Inquiries - New WPA Towing Policy,0
Information on Agendas Meetings or Decisions,0
City Auditor Inquiry (Take & Transfer),0
Breached Missed Collection Large Appl Deficiency,0
Watermain Cleaning Discoloured Water,0
Adoption Inquiry_vof,0
New Cat License Payment,0
Sponsorship Winnipeg (TT),0
Golf Merchandise Inquiry (TT),0
MB Hydro LED Conversion Escalated Inquiry (TT),0
Golf Winnipeg.ca Search Inquiry,0
Online Payment Survey,0
Cannabis Inquiry (TT),0
Snow Removal around Fire Hydrant P1,0
Referred to Chief Vet Officer Animal Care Line,0
Yellow Fish Road Inquiry,0
Treatment Plant Odour Complaint - 100 Ed Spencer,0
Program Registration - English (TT),0
Living Prairie Museum (TT),0
Councillor Mayes Inquiires (TT),0
Forestry Pruning Obstructive Branches_vof,0
Tree Pest Caterpillar Complaint_vof,0
Aquatics-Swimming Counts (TT),0
Park Maint - Cross Country Ski Trails,0
Needle Drop Box Feedback,0
Sewer Overflow Inquiry,0
Vehicle for Hire Licensing/Enforcement Complaint,0
Requests for Assessment History/Act/Charter,0
207 Fort Street Barricades,0
Zoning By-Law Complaint - Commercial Lighting (TT),0
Inspection Billing Inquiry,0
Get Your Name on the Voter List,0
"Transferred for Info, regarding Sewer Contractors",0
Transferred to Weed Control,0
CF Multi Year Budget Inquiry,0
Permit Program Complaint,0
RS-Facility Weightroom Complaints,0
Call2Recycle Curbside Pilot Program,0
Transferred for Ditch Culvert Maintenance,0
Recreation-Concessions/Vend at City Facility (TT),0
Engage - Small Cell Technology Review,0
Speed Limit Concern P2/P3,0
Traffic Signal Malfunction Response No ETA,0
Transferred call to Cemeteries,0
CmS Other-How to Volunteer Inquiry,0
Curb Repair P2_vof,0
Abandoned Animal,0
Transfer call to Request Illegal Dumping Cameras,0
Rec Services-Prog Withdrawal Passed Date-No Refund,0
Comments Commendations Complaints - English (Mill),0
Transferred to Naturalist Services,0
Recreation-SportProgramsInnerCityNeighbourhood(TT),0
Park Rental - Bandmobile Rental (TT),0
Speak to a Project Officer-Municipal Accomodations,0
City Facility Closure Inquiry,0
Parking Liens & Seizures Escalated Inquiry,0
Landfill Gas (Methane) Testing Inquiry (TT),0
PPD Brochures Bylaws IR,0
Transit Transferring Issues,0
Pruning - Encroaching on Private Property,0
Newcomer Information Assistance (TT),0
Alarm By-Law Screening Inquiry,0
Rec Services Private Swim Instructor Inquiry,0
Fraud Hotline Inquiry (TT),0
UrbanPlanning&Design-Heritage/Historical Bldg Inq,0
Ditch Overflowing Report P3,0
Snow Removal Active Transportation Path/Trail P3,0
Reporting an Unlicensed Cat,0
Transfer to WPS for a Cannabis Inquiry,0
Paid Fire Inspection Request Form,0
Presentation Booking Request (Take & Transfer),0
Playground Equipment Maintenance Request Hazardous,0
Lesisure Registration Resident/Non-resident Inq,0
CAO Sustainability - Climate Action Plan (TT),0
Sewer Cleaning Emergency - Regular Hours,0
Park Maint - Toboggan Slide Hazardous,0
Railway Crossing Closure (Take & Transfer),0
Racism/Discipline FeedbackorInq,0
Bats - Human Contact,0
Planter or Hanging Basket Maintenance Request,0
Recreational Vehicle Parking Permit Inquiry,0
Water Distribution Summer Pressure Program (TT),0
French Language Services Take & Transfer,0
Christmas Day Open House Event,0
Streets By-Law Screening Inquiry,0
Manitoba Floodway Inquiry (TT),0
Exotic/Non-Native Animal Running at Large,0
Reference Question - English (TT),0
Transferred to WPS Bureau of Records,0
CmS Other-Inquiries on Seven Oaks summer swim,0
Bus Stop Area/Bus Stop Snow Removal Request,0
Request to Hood a Meter,0
Safe Family Program Esc Inq,0
Water Meter - Request to Relocate Meter,0
Treatment Plant Odour Complaint - 2230 Main St,0
City Facility Cleanliness Request,0
Know Your Zone App Concern,0
Urban Planning & Design-Speak to District Planner,0
Recreation-Inclusive Programming Inquiries,0
Transfer to Brady Landfill re Surveillance Camera,0
Fee Per Dwelling Unit Exception Request,0
Closing/Sale of Public Streets/Lanes/Walkways,0
City Facility Cleanliness,0
"Tree Damaged Vehicle, Snow Clearing, Vandalism_vof",0
Water Contractor Information Request (TT),0
Film & Special Events Inquiry (Take & Transfer),0
Recreation-Course Errors/Inaccuracies,0
Intact Cat,0
SAFE Riel Req,0
Speed Limit Concern,0
Zoning Plan Approvals,0
PPD Film & Special Events,0
Spring Back Lane Sweeping Report,0
Land Development - Street Name Inquiry,0
Tours of City Hall,0
Staff Complaints/Commendations,0
Indigenous Divisions Inq,0
TR Peggo Opinion,0
Aquatics-Private Swim Instructor Inquiry (TT),0
Sanding Request AT on Street Priority 1,0
Animal Care Donation Payment,0
Local Improvement Information,0
Staff Complaint/Commendation - Inspection,0
Transfered to Councillor Sharma Office,0
Let's Chip In Concern/Inquiry,0
Mobile Vendor Permit Escalated Inquiry,0
Transferred to Enviro. Discharge/Disposal License,0
Councillor Gilroy Inquiries (TT),0
Tree Roots Inq. Related to Sewer Backup,0
Service Request or Inquiry,0
Transferred to Over Dimension/Weight Truck Report,0
Request to Speak at Council Meeting,0
TR Peggo Admin Card History Report,0
Backflow and Cross Connection Inspections  (TT),0
CSS City Auditor Inq (TT),0
Transferred to Landfill for Gas (Methane) Testing,0
Reduced- Speed Neighbourhood Pilot,0
Recreation Staff Complaint,0
Councillor Allard Inquiries (TT),0
WTMP Primary Network and Feeder Routes Changes,0
Transfered to Councillor Allard Office,0
Rec Services-Facility Unexpectedly Closed (City),0
Presentation Booking Req (TT),0
VFH ByLaw Infraction Screening Request,0
Animal Services ByLaw Change Escalated Inquiry,0
Ambulance Billing Update Information,0
Transfer to Cemeteries (TT),0
CFPP West End BIZ,0
Recreation-Recreation Equipment Loans,0
Needles on Private Property Report (Take&Transfer),0
Councillor Rollins (TT),0
Snow Removal Active Trans. Trail After Hours P1,0
Outreach Services (T & T),0
RPB Towing Company/Driver Complaint,0
Park Maint - Skate Board Parks,0
Membership Guide Inquiry,0
TR Peggo Blank Card Sold Report_VOF,0
Sanding Request Active Transportation Street P3,0
CF Surplus Sales Inquiry,0
TR_Southwest AT Trail Pavement Maint,0
Snow Plow Sod Damage Follow-up,0
Request For RV Permit Esc Information,0
CSS Equity & Diversity Inq (TT),0
Park Maint - Shrub Bed,0
Staff/Process Complaint/Commendation – Taxation,0
Councillor Santos (TT),0
Snow Removal  - Snow Plow Sod Damage Follow-up,0
TR Peggo Commendations,0
Frozen Catch Basin Report P1,0
Parking Store Closure Complaint,0
Alarm Permit Inquiries Follow-up,0
Peggo Card Audit Report Inquiry,0
Insect ID,0
Online Parking Payment Survey,0
CFPP Academy BIZ,0
Charges on Tax Bill for Local Improvement,0
Car Seat Checks,0
Liens & Seizures Escalated Inquiry,0
Carts Not Delivered Inquiry,0
Meter Rate Change Inquiries,0
Snow Removal Accessibility Clearing_vof,0
Spring Sidewalk Sweeping Request P2,0
Ambulance Billing Update Info,0
Newcomer Information Inquiry,0
Program Reg-Transfer to Waitlist Course SR,0
Park Maint - Boat Dock/Launch NonHazardous,0
Vehicle Impounds Info (TT),0
Sewer Cleaning Emergency - After Hours,0
Park Maint - Pruning General Non Hazardous,0
SAFE City Centre Req,0
Cameras Installed for Illegal Dumping Inquiry (TT),0
Careers Website Technical Support Requested,0
Rec Services InPerson/Online Registration Complain,0
Website Technical Support Requested,0
Zoning Permit Status,0
Speed Limit Concern P1,0
Million Trees - Volunteer,0
CS_CD_East End Cultural Centre Inquiries,0
Needles - Private Prop - Street Connections (TT),0
Frozen Culvert Priority 1,0
Investors Group Field Event Inquiry,0
Forestry Tree Planting Courteous Notice,0
Frozen Culvert Priority 2,0
Roll Out Cart Delivery - Too Many Carts,0
Traffic Management Misc Concern,0
Transfer for Neighbourhood Characterization Study,0
TR_Southwest Transitway Litter Container Maint,0
Downspout Discharge - Hazardous,0
Registration - Public Skating,0
Application to Adjust Sewer Charges,0
BSC Counter Cancel Inquiry,0
Spring Street Sweeping Report Priority 1,0
Safe Family Program Inq,0
French Service Not Available Concern - English,0
Request for Copy of By Law,0
Sanding Sidewalk/Pathway_vof,0
Zoning By-Law Complaint - Mobile Sign (T & T),0
Adopt a Park Request,0
Community Fire Prevention Program - Osborne BIZ,0
Exchange Parking Signage Pilot Feedback,0
Contact Phone Numbers IR,0
Transferred for a Community Gardens Inquiry,0
Inspections - Occupancy No Permit Complaint_vof,0
Request City Collection for Recycling,0
Transferred to Swimming Counts,0
Traffic Signals Staff Complaint,0
Parks Trails/Pathways Maintenance_vof,0
Transferred for Non Emergency Ambulance Request,0
Wpg Jets Block Party 2023,0
Rec Services-Drop In Program Complaint/Inquiry,0
Building Energy Disclosure Project IR,0
Decorative Light After Hours Damage Report,0
CmS Other-Newcomer Information Assistance (TT),0
Parking Ticket Be Aware Program Inquiry,0
Fallen Park Tree Report Non Hazardous,0
Parking Meter Rate Change Concern,0
Dutch Elm Disease Firewood Inspection,0
Electric Vehicle Charging,0
Turn On / Turn Off WaterMain Renewal,0
Hoarding/Pack Rat Complaint,0
Safe Family Program Escalated Inquiry,0
Water Problem Report,0
Streets By-Law Screening Request,0
Transit Travel Training IR,0
Transferred to WPS for Vehicle Impounds Info,0
Bus Operator Position Inquiry (Take & Transfer),0
Income & Expense - Request for Mailer,0
Registration - Refund Slot NOT Waitlisted,0
Aquatics Wading Pool Schedule Inquiry,0
Registration - Leisure Centres,0
Transfered to Councillor Browaty Office,0
BSC Counter Other/Non City Services Inquiry,0
Transferred to Councillor Duncan Office,0
Brady Road Landfill Concerns,0
CF Multi Year Budget Esc Inquiry,0
Building Energy Disclosure Project,0
Traffic Calming Project - Hawstead (OPE),0
Accessible Parking Pilot Program/Survey Inq,0
Forestry Pruning Traffic Control Signs_vof,0
Traffic Signals Information Request,0
Request for Appl/Form to Sit on Board/Commission,0
Landfill (Brady Rd) Surveillance Camera Inq (TT),0
Transit Travel Training Program Request,0
Traffic Calming Request P1,0
Inspection Request for Reschedule,0
Rapid Transit Inquiry,0
Inspection Billing Feedback/Complaint,0
"Tree Concern - Grates, Pits and Stakes_vof",0
Missed Surplus Waste Collection Same Day Miss,0
Bridges Overpass Underpass Report_vof,0
Notify Fire of Oxygen Tank/Person w/Disability,0
City Property - Staff Complaints/Commendations,0
Transit By-Law Infraction Payment,0
Special Events Information (TT),0
Unlicensed Dog Report,0
Vehicle for Hire Diamond Lane Inquiries,0
Inspections - Received Escalation Email,0
Weekly Group Booking Reservation (TT),0
Rec Services RelayCustomerInstructionsToSupervisor,0
Water Quality Sediment/Discolor - EmergencyAfter,0
Park Rental Complaint/Commendation/Refund,0
BSC Counter By-Law Penalty Notice Payment,0
Beaver Damage or Concern Inq_vof,0
Priority Booking System Inquiries,0
Commercial Building Year Built,0
Rapid Transit Inq,0
Transferred for Recycling Facility Tour Inq.,0
Public Transit By-Law Screening Inquiry,0
TR Peggo Audit Report Inq,0
Property at Risk Inquiry,0
Community Gardens Inquiry,0
CmS Other-Neighbourhood Characterization Study(TT),0
Shrub Bed Maintenance,0
Sweeping Street P3 Request,0
Sanding Request Bridge Priority 1,0
Fire Prevention By-Law Screening Inquiry,0
Recreation - Permit Processing Fee SR,0
Recreation-North End Youth Boxing Program Inq (TT),0
Anti-Racism Week Escalated Inquiry,0
Maps & Digital Data Inquiry,0
Transfer for Community Incentive Grant Program,0
Climate Change Adaptation or Resiliency,0
RS-Drop In ActiveLiving,0
Parking Meter Rate Change Inquiry,0
Recreation-Free Indigenous Programming Inq,0
MB Hydro LED Conversion Inquiry,0
Car Share Pilot Program Inquiries,0
Sanding Request Active Transportation Street P2,0
PLU - Long Term Neighbourhood Plans,0
Summer Street Sweeping Request P1,0
Transfer re WaterDistribution Summer Pressure Prog,0
CAO Sustain Sustainable Food Systems & Security,0
Defacement of Meter Report,0
Snow Removal - Snow Plow Curb Damage,0
PLU - Plan Winnipeg,0
Operational Commendation,0
Government Request for Information,0
BSC Counter Internal Interaction,0
"City Clerks-Info Request-Boards,Committees,Commis",0
Damage or Theft by Collection Crews - Food Waste,0
Street Maintenance Policy and Quality Concerns,0
Sustainable Waste Management & Diversion,0
Festive Light Maintenance,0
Our City Newsletter Inquiry,0
Graffiti - Request for a Sign (Take & Transfer),0
Request for Birthday or Anniversary Greeting,0
Biking with Dog Concern/Report,0
Banner Pole Damage Report,0
Registration - Refund Passes/Memberships,0
Street Naming Inquiry,0
Playground Equipment Maintenance NonHazardous,0
Recreation-Youth At Risk Fishing Program (TT),0
Excess Animal Permit,0
French Service Not Avail. – BSC - Eng,0
Dog Daycare Concern/Report,0
Curb Repair P1_vof,0
TR_Southwest Corridor Sanding Maint,0
Breeder - No Permit Concern/Report,0
Confined Entry/Space Access Regulation Sign (TT),0
Lead Control Program Inquiry,0
Outdoor Animal Trap Concern/Report,0
311 Counter Film & Special Events Payment,0
Sustainable Transportation,0
Flooded Dwelling After Hours,0
Snow Route Ban to Winter Route Parking Ban Concern,0
Outdoor Rodenticide Use Concern/Report,0
City Facility Request to Paint a Mural,0
TR_Southwest Transitway Service Request,0
Record Search Under Water By-law (TT),0
Rec Services-Facility Unexpectedly Closed - City,0
Summer Street Sweeping P3,0
Adopt a Rink Request,0
IG Field Scheduled Event Inq.,0
Summer Street Sweeping P2,0
Union Strike Inquiry,0
Treatment Plant Odour Complaint - 7740 Wilkes Av,0
Tours and Class Visits - English (TT),0
Park Maint - Boat Dock/Launch Hazardous After,0
Paid Inspection Request Form,0
Councillor Orlikow Inquiries (TT),0
Program Registration - English,0
TR_Southwest Corridor Pavement Maint,0
Aquatics-Aquatic Practice Teaching Inquiry,0
Rec Services Budget Inquiry,0
Underground Clearance (TT),0
Golf PAR Loyalty Program Inquiry,0
Spring Street Sweeping Request P1,0
Insect Control Operational Commendation,0
Accessibility - Universal Design Coordinator,0
Fire Prevention By-Law Screening Request,0
Storm Retention Basin Dead Fish Concerns,0
Youth Fire Stop Program Referral (TT),0
Transferred for Skywalk Concerns,0
Police How to Volunteer Inquiry,0
Exchange District Parking Signage Pilot,0
Meter Removal Feedback,0
Paved Road Repair NonHazard Priority 1_vof,0
Miscellaneous Insect Inspection Request,0
Breached Missed Collection Surp Waste Deficiency,0
Backflow Tester License (T & T),0
Councillor Sharma Inquiries (TT),0
Ditch Overflowing Priority 1 Reg,0
Transit Plus Trip Confirmation (Take & Transfer),0
MyUtility Portal Inquiry,0
Storm Retention Basin Garbage Concerns,0
Sanding Street/Roadway_VOF,0
Comments Commendations Complaints - French,0
Transfered to Councillor Mayes Office,0
Mask Use in Bus Shelter,0
Assiniboine Park Inquiry,0
Transfered to Councillor Eadie  Office,0
Parks Trails and Pathways Inquiry,0
Environmental Notices/Orders Inquiry/Concern (TT),0
Zoning Documentation For Permits,0
TR_Southwest AT Trail Sanding Maint,0
Electronic Speed Sign Inq,0
Flooded Dwelling Regular Hours,0
TR_Transit Travel Training,0
Transfer for Concessions/Vending at City Facility,0
TP Trip Confirmation (TT),0
Program Reg-Private Swim Instructor Inquiry(T&T),0
IdeaMill Inquiry,0
Councillor Dobson Inquiries (TT),0
Request to Repair Damage to Memorial Stone,0
Recreation Learn to Skare Report Card Inquiries,0
Registration - Ice Rental Spectator Registration,0
Lindenwoods Community Garage Sale SR,0
HT Commendation Handi-Transit Staff,0
Membership Card/Account - French,0
Shelf Check - French,0
Assett Map Concern,0
Transportation Staff Complaints,0
Derelict Building Viewing Registration,0
Water Meter Not Working After Hours,0
Park Maint - Park Bench NonHazardous,0
Park Maint - Boat Dock/Launch Hazardous,0
CmS Other-GeographicField,0
CFPP Transcona BIZ,0
Emergency Septic Leak,0
Request to Engrave/Service Niche,0
PLU - Heritage Historical/Statistical Information,0
AT Sunday Closure Enforce Esc Inq,0
PLU - Heritage Building Documentation,0
HT Complaint Driver Safety,0
2018 Dog Trace Test,0
HT Complaint Handi-Transit Staff,0
Request for Surplus Waste Pick Up - Adding Items,0
Major Incident Missing Person Located Report,0
TR Labor Negotiations Feedback,0
Inspections - After Hours Unsafe Conditions,0
Sanding Request Priority 3AT After,0
Sunnyside Light Conversion (TT),0
IGF Bison / Stadium IR,0
Reference Question - French,0
Aquatics-CPR/First Aid Group Booking Inquiry,0
Request Early Garbage Cart Upgrade,0
Election Day Citizen Esc Inq,0
Test Email Escalation,0
Program Reg - Pan Am Pass Suspension,0
Train Whistling Complaint,0
Program Reg-Simply Unique Program Inquiry (TT),0
Program Inquiry - French (TT),0
Park Maint - Pruning Traffic Control Signs,0
Recreation-Summer Camp Incentive Inquiries,0
Curb Repair Hazardous After Hours (TT),0
HT Commendation Driver,0
Transfer to Arena (T & T) (See Rec and Leisure),0
Plenary Misc Concern,0
HT Application Denied Appeal Request,0
PLU - Development Along Seine River,0
Libraries / Multi-year Budget Escalated Inquiry,0
Angled Parking Pilot Program Feedback,0
PLU - North St. Boniface/Provencher Plan (TT),0
Pruning - Blocking Signal,0
Turn Off Water - Sprinkler Repairs After Hours,0
Cancel Cat License French Transfer (TT),0
Manhole Cover Ajar or Missing (T & T)- After Hrs,0
Turn On Water - SprinklerRepairsComplete After Hrs,0
Missed ODS Collection Same Day Miss,0
Water Conservation Inquiries/Retrofit Kits (TT),0
Program Reg-Aquatic Special Event Inquiries,0
Catch Basin Plugged - Back Lane After Hours,0
TR Missing Person Report,0
Tours and Class Visits - French,0
Boiled Water Advisory Compensation Inq,0
Rothsay Wastewater Report,0
Early Payment Discount Change Complaint,0
TR_Southwest Transitway Park & Ride Maint,0
NoAccesstoPrinter ApplicationMailout Solid Waste,0
HT Missing Persons (TT),0
Inspections - Home Based Business_vof,0
River Pollution/Outfalls - Emergency - After Hours,0
2018 Complaint Type Test,0
Request for Placement of Wreath,0
Suggest a Program - English,0
PLU - Heritage Building De-Listing,0
Million Trees - Corporate,0
Sewer Excavation - Dangerous After Hours,0
Other Cat License Req French (TT),0
Pruning-Blocking Intersection Visability,0
Outfall Condition Assessment Inquiry,0
Missing Person Report,0
Lost Property Inquiry,0
Vehicle for Hire Prepayment Pilot Feedback,0
PLU - Land Dedication Reserve,0
Purchaser Program Bylaw Complaint IR,0
Treatment Plant Noise Complaint - 100 Ed Spencer,0
Assett Map Technical Issue,0
Vehicle for Hire Prepayment Pilot Complaint,0
Request to Display Art,0
TR_Southwest Transitway Transferring Inquiry,0
HT Complaint Handi-Transit Policies,0
Program Reg-Registration Refund Enquiry,0
2020 Program Reg - Process Summer Day Camp Reg.,0
Roadside Safety Device Problem,0
CFPP St. James Village,0
Staff Complaint/Commendation- Health Inspect (TT),0
Bees,0
Free  Mini Bins - Pt. Douglas,0
French Service Not Avail. – No BSC - Eng,0
Meeting Room Request - French,0
Sewer Excavation - NonDangerous,0
Property on Not Out Map - Misc SR Submitted,0
APE Charging Admission for Zoo on July 1,0
Purchaser Incentive Program IR,0
Culvert Safety Inspection,0
Catch Basin Plugged - Front Street After Hr,0
"Present, Partner a Program - English",0
Pruning- Blocking Sign,0
Major Incident Missing Person Report Update,0
Parks By-Law Screening Inquiry,0
Todays Recycling Day Inquiry,0
PLU - Heritage Building Maintenance/Changes,0
Traffic Assessment Misc Concern,0
Pool Concession Inquiries,0
Streets IR French Version,0
Sale of City Parks,0
RRAP(ResidentialRehabilitationAssistance)Eligible,0
Tour Request,0
Water Meter Leaking After Hours,0
Request for Memorial Stone Installation,0
Tree - Beaver Damage Complaint,0
Traffic Noise Study,0
Sewer Back Up - Raw Sewage After Hours,0
Program Registration - French,0
Park Maint - Risk of Injury,0
French Service Not Avail. – BSC - French,0
Hydrant Hit or Damaged After Hours,0
Accessible Parking Pilot Program/Survey Esc Inq,0
Angled Parking Pilot Program Inquiry,0
Water Critical Customer Stakeholders List Request,0
Catch Basin Cover Missing (T & T),0
Catch Basin Damaged - Front Street After Hours,0
BSC Counter ACCESS Centre Directions,0
Talking Book Service - English (TT),0
Whyte Ridge Community Garage Sale Parking SR,0
HT Customer No Show Appeal,0
Changes to Collection Concern/Inquiry,0
Tours and Class Visits - French (TT),0
Water Meter Noisy After Hours,0
Wi-Fi on Buses Inquiry,0
HT New ID Card,0
Water Meter Damaged or Broken After Hours,0
Talking Book Service - French (TT),0
BSC Counter Mail Drop Off/Copy Information,0
Southwest Transitway Art Installation IR,0
Parking Signs Updated due to Garbage/Recycling Inq,0
Zoning By-Law Complaint - Snow,0
Polo Park Infrastructure Project Inquiry,0
Turn On Water - Install Meter,0
Curbside Kitchen Waste Program,0
Non-Operator Policy Concern,0
July 3-Power Outage Heat Concern-No Air Condition,0
Program Reg - Winnipeg Boys & Girls Clubs,0
PLU - Open House AD Shorehill Park (TT),0
Transferring Issues,0
Chamber Office of Business Support,0
CFPP Selkirk Ave BIZ,0
Program Reg-Aquatic CPR/First Aid Group Booking In,0
Pothole Nov 1 Priority 3 After,0
2012 Flood General/Technical Inquiry,0
Public Consultation of the Sewer By-law,0
Standpipe Portage Temporary Closure (T&T),0
Water Meter Burst or Lost After Hours,0
Angled Parking Esc Inq,0
HT Unable Trip/Late Bookings (TT),0
Program Inquiry - French,0
Water Meter Lost,0
Tours and Class Visits - English,0
HT Complaint Driver Did Not Show Up,0
Event Calendar Inquiry,0
Subdivision Tax Information,0
Lyndale Drive Retaining Wall Project Inq,0
Culvert Safety Inspection (TT),0
Musical Instrument Lending (TT),0
PLU - New Playstructure,0
Request for Grave Maintenance,0
Park Maint - Toboggan Slide Hazardous After,0
Locate a Person in the Library,0
Aboriginal Divisions Inq,0
IGF Shuttle Bus IR,0
Water Meter Head Backwards,0
Turn Off Water - Contractor Tie-In Regular Hours,0
Housing Policy Review (TT),0
PLU - Urban Design Advisory Committee Approval,0
Replacement Cat Tags Request French Transfer (TT),0
Request for Pre Need Cemetery Grave Services/Sales,0
Pruning - Blocking Street Lighting,0
Recycling Blue Box Study,0
Transfers to Libraries Membership Card/Account-Eng,0
Debris By City/Private Contractor,0
Transfers to Libraries Program Registration - Eng,0
Rec Services-Program Inquiry,0
Community Fire Prevention Program-WestBroadwayBIZ,0
Transferred to Councillor Orlikow Office,0
Owner Found Dog_vof,0
Major Annual Event Booking (Take & Transfer),0
Transfers to Libraries Talking Book Service - Eng,0
Traffic Assessment Miscellaneous Concern,0
Transferred to Councillor Mayes Office,0
Unlicensed Dog_vof,0
Commercial Animal_vof,0
Excess Animal_vof,0
Zoning By-Law Complaint - Fence _vof,0
Hood a Parking Meter Request,0
Transferred to City Hall Lost Property,0
Transfer for North End Youth Boxing Program Inq,0
Recreation Participant Waiver Inquiry,0
Transit Accessibility Inquiry,0
Transferred to Councillor Browaty Office,0
Zoning By-Law Complaint - Parking Pad_vof,0
Rec Services-Facility Mtce Complaint-Not City Run,0
Pothole Back Lane Repair,0
Community Safety Team - General Inquiry IR,0
Transferred to Councillor Gilroy  Office,0
Fence Too Short_vof,0
Transferred to Councillor Allard Office,0
Recreation Online Ice Booking Inquiry,0
Transfers to Libraries Interlibrary Loan,0
Toboggan Slide Maintenance Non Hazardous,0
Transfers to Libraries Program Inquiry - English,0
SAFE Family Program General Inquiry,0
Parking Lot in Park Rental Request (Take&Transfer),0
Transfers to Libraries Reference Question - French,0
Snow Removal Active Trans. Trail After Hours P2,0
Transferred to Councillor Sharma Office,0
Active Transportation Pathway Maintenance P3,0
Living Prairie Museum Inquiry (Take & Transfer),0
Transferred for Community Relations Bus Request,0
Unlicensed Cat_vof,0
Transferred for  MB Hydro LED Conversion Inquiry,0
Transferred for a Bandmobile Rental,0
Sick or injured Domestic Animal_vof,0
Park Maint - Pruning Obstructive Branches_vof,0
Multi Year Budget Escalated Inquiry,0
Transferred to Councillor Santos Office,0
Zoning By-Law Complaint - Commercial Lighting_vof,0
WINNIPEG & Esplanade Riel Bridge Light Request,0
Active Transportation Pathway Maintenance P2,0
Fire Inspection Billing Request Document,0
Fire/Paramedics Apparatus Request (Take&Transfer),0
Park Tree Pruning Branches Obstructing Signs,0
Libraries-Program Registration - English,0
Peggo Report Card Lost/Found,0
Transfer for Confined Space Entry,0
Community Services Accessibility Inquiry,0
Water & Waste Accessibility Inquiry,0
UrbanPlanning&Design-Unauthorized River Bank Work,0
Water Conservation - Sustainability IR,0
Park Maint - Pruning General Non-Hazardous_vof,0
Libraries-Comments Commendations Complaints - Fren,0
Transferred for Missing Vehicle Follow Up,0
Community Fire Prevention Program-Old St Vital BIZ,0
Libraries-Exhibit Space - English,0
Sustainable Waste Management & Diversion IR,0
Community Fire Prevention Program-Norwood GroveBIZ,0
East End Cultural Centre Inquiries,0
SAFE Family ProgramEast Kildonan/Transcona Inquiry,0
Sanding Street/Roadway_vof,0
Trasnferred to Rent a Parking Lot in a Park,0
Concerned about Excessive Clutter in Home,0
Libraries-Reference Question - English,0
Entice or Tease Animal_vof,0
SW Transitway Litter Container Maintenance,0
Requesting Birthday/Anniversary Greeting frm Mayor,0
CAO Office of Public Engagement PO Survey,0
Outdoor Rodenticide in Use_vof,0
BSC Counter Film & Special Events Payment,0
Zoning Bylaw Complaint - Parking Pad,0
Active Transportation Pathway Hazardous Aft Hrs,0
Request to Speak at Council Meeting (CC),0
Pollution Prevention Program,0
Community Fire Prevention Program - Transcona BIZ,0
Transferred to Transit - Newcomer Info Assistance,0
9-8-8 Suicide Crisis Helpline TT,0
SW Transitway Art Installation Escalated Inquiry,0
Boarding Permit Application Inqiry,0
Sanding Request Active Transportation Pathway P3,0
SWTransitway ActiveTransportationTrail SnowRemoval,0
Escalated Election Day Citizen Inquiry,0
Escalated Election Day Candidate Inquiry,0
Transferred for a Garden Plot Inquiry,0
Snow Removal Active Transportation Path/Trail P2,0
Lost Dog_vof,0
Sweeping Sidewalk P1 Request,0
Transferred to Councillor Rollins Office,0
Active Transportation Pathway Hazardous Reg Hrs,0
Streets By-Law Infraction Payment,0
Transferred to Click Before You Dig,0
Fire Inspection Billing Update Information,0
Toboggan Slide Maintenance Hazardous,0
Animal Services Newcomer Assist (Take & Transfer),0
Cross Country Ski Trail Maintenance Request,0
Frozen Culvert Report P2,0
Transferred to Request a Fire Station Tour,0
Active Transportation Pathway Maintenance P1,0
Community Fire Prevention Program - Academy BIZ,0
Transferred to Book a Presentation,0
City Clerks-Request for Funding/Financial Assistan,0
Transferred to Councillor Eadie  Office,0
Safe Family Program General Inquiry,0
Transit On-Request Pilot Feedback,0
LGCA Cannabis Campaign Inq.,0
Transfer Caller speak at Committee Meeting (CC),0
Brady Landfill & 4RDepot-Comments for Closure 2022,0
Transferred to Zoning - Staff Complaints/Commend,0
City Hall/Admin Accessibility Inquiry,0
Transferred to Transit Plus Trip Cancellation,0
PlanningPropertyDevelopment Accessibility Inquiry,0
Transferred for Roadside Memorial Removal Inquiry,0
Assessment Valuation Staff Follow Up,0
Traffic Management Center Waze Inquiry,0
Transferred for Railway Crossing Closure,0
"Present, Partner a Program - French",0
Cut/Excavation Inq Public Works - Hazardous RegHrs,0
Transferred to Councillor Dobson Office,0
Transfer to Alert of Oxy Tank/Person w/Disability,0
Transferred for a Temp Street Sign Escalated Inq,0
Inspections - Uncontained Debris and Refuse_vof,0
Transferred to Transit Plus Concern/Commendation,0
Election Day Candidate Esc Inq,0
Park Trail/Pathway Snow Clearing P1,0
Tennis Court Maintenance,0
PP&D Phone Number Lookup,0
UrbanPlanningDesign-Advisory Committee Approval,0
